UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 84
NumVolumes  = 195

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS

     0       0         19283006         19283024
     0      28         19283006         19283024
     0      56         19283006         19283024
     0      13         19283034         19283052
     0      41         19283034         19283052
     0      69         19283034         19283052
     0      26         19283063         19283080
     0      54         19283063         19283080
     0      82         19283063         19283080
     0      11         19283091         19283109
     0      39         19283091         19283109
     0      67         19283091         19283109
     0      24         19283119         19283137
     0      52         19283119         19283137
     0      80         19283119         19283137
     0       9         19283147         19283165
     0      37         19283147         19283165
     0      65         19283147         19283165
     0      22         19283176         19283194
     0      50         19283176         19283194
     0      78         19283176         19283194
     0       7         19283204         19283222
     0      35         19283204         19283222
     0      63         19283204         19283222
     0      20         19283232         19283250
     0      48         19283232         19283250
     0      76         19283232         19283250
     0       5         19283261         19283278
     0      33         19283261         19283278
     0      61         19283261         19283278
     0      18         19283289         19283307
     0      46         19283289         19283307
     0      74         19283289         19283307
     0       3         19283317         19283335
     0      31         19283317         19283335
     0      59         19283317         19283335
     0      16         19283345         19283363
     0      44         19283345         19283363
     0      72         19283345         19283363
     0       1         19283374         19283392
     0      29         19283374         19283392
     0      57         19283374         19283392
     0      14         19283402         19283420
     0      42         19283402         19283420
     0      70         19283402         19283420
     0      27         19283430         19283448
     0      55         19283430         19283448
     0      83         19283430         19283448
     0      12         19283458         19283476
     0      40         19283458         19283476
     0      68         19283458         19283476
     0      25         19283487         19283505
     0      53         19283487         19283505
     0      81         19283487         19283505
     0      10         19283515         19283533
     0      38         19283515         19283533
     0      66         19283515         19283533
     0      23         19283543         19283561
     0      51         19283543         19283561
     0      79         19283543         19283561
     0       8         19283572         19283590
     0      36         19283572         19283590
     0      64         19283572         19283590
     0      21         19283600         19283618
     0      49         19283600         19283618
     0      77         19283600         19283618
     0       6         19283628         19283646
     0      34         19283628         19283646
     0      62         19283628         19283646
     0      19         19283656         19283674
     0      47         19283656         19283674
     0      75         19283656         19283674
     0       4         19283685         19283703
     0      32         19283685         19283703
     0      60         19283685         19283703
     0      17         19283713         19283731
     0      45         19283713         19283731
     0      73         19283713         19283731
     0       2         19283741         19283759
     0      30         19283741         19283759
     0      58         19283741         19283759
     0      15         19283770         19283788
     0      43         19283770         19283788
     0      71         19283770         19283788
     1       0         19283806         19283824
     1      28         19283806         19283824
     1      56         19283806         19283824
     1      13         19283834         19283852
     1      41         19283834         19283852
     1      69         19283834         19283852
     1      26         19283863         19283880
     1      54         19283863         19283880
     1      82         19283863         19283880
     1      11         19283891         19283909
     1      39         19283891         19283909
     1      67         19283891         19283909
     1      24         19283919         19283937
     1      52         19283919         19283937
     1      80         19283919         19283937
     1       9         19283947         19283965
     1      37         19283947         19283965
     1      65         19283947         19283965
     1      22         19283976         19283994
     1      50         19283976         19283994
     1      78         19283976         19283994
     1       7         19284004         19284022
     1      35         19284004         19284022
     1      63         19284004         19284022
     1      20         19284032         19284050
     1      48         19284032         19284050
     1      76         19284032         19284050
     1       5         19284061         19284078
     1      33         19284061         19284078
     1      61         19284061         19284078
     1      18         19284089         19284107
     1      46         19284089         19284107
     1      74         19284089         19284107
     1       3         19284117         19284135
     1      31         19284117         19284135
     1      59         19284117         19284135
     1      16         19284145         19284163
     1      44         19284145         19284163
     1      72         19284145         19284163
     1       1         19284174         19284192
     1      29         19284174         19284192
     1      57         19284174         19284192
     1      14         19284202         19284220
     1      42         19284202         19284220
     1      70         19284202         19284220
     1      27         19284230         19284248
     1      55         19284230         19284248
     1      83         19284230         19284248
     1      12         19284258         19284276
     1      40         19284258         19284276
     1      68         19284258         19284276
     1      25         19284287         19284305
     1      53         19284287         19284305
     1      81         19284287         19284305
     1      10         19284315         19284333
     1      38         19284315         19284333
     1      66         19284315         19284333
     1      23         19284343         19284361
     1      51         19284343         19284361
     1      79         19284343         19284361
     1       8         19284372         19284390
     1      36         19284372         19284390
     1      64         19284372         19284390
     1      21         19284400         19284418
