UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19271385     PULS   2574 
     19271387     PULS   2689 
     19271389     PULS   2799 
     19271391     PULS   2904 
     19271393     PULS   3003 
     19271395     PULS   4095 
     19271397     PULS   4095 
     19271399     PULS   4095 
     19271401     PULS   4095 
     19271403     PULS   4095 
     19271405     PULS   4095 
     19271407     PULS   4095 
     19271409     PULS   4095 
     19271411     PULS   4095 
     19271413     PULS   4095 
     19271415     PULS   4095 
     19271417     PULS   4095 
     19271419     PULS   4095 
     19271421     PULS   4095 
     19271423     PULS   4095 
     19271424     PULS   4095 
     19271426     PULS   4095 
     19271428     PULS   4095 
     19271430     PULS   4095 
     19271432     PULS   4095 
     19271434     PULS   4095 
     19271436     PULS   4095 
     19271438     PULS   4095 
     19271440     PULS   4095 
     19271442     PULS   4095 
     19271444     PULS   4095 
     19271446     PULS   4095 
     19271448     PULS   4095 
     19271450     PULS   4095 
     19271452     PULS   4095 
     19271454     PULS   4095 
     19271456     PULS   3038 
     19271458     PULS   2994 
     19271460     PULS   2951 
     19271462     PULS   2907 
     19271464     PULS   2862 
     19271466     PULS   2818 
     19271468     PULS   2774 
     19271470     PULS   2730 
     19271472     PULS   2687 
     19271474     PULS   2644 
     19271476     PULS   2603 
     19271478     PULS   2562 
     19271480     PULS   2522 
     19271482     PULS   2484 
     19271484     PULS   2447 
     19271486     PULS   2412 
     19271488     PULS   2380 
     19271490     PULS   2349 
     19271492     PULS   2320 
     19271494     PULS   2294 
     19271496     PULS   2270 
     19271498     PULS   2249 
     19271500     PULS   2229 
     19271502     PULS   2212 
     19271504     PULS   2197 
     19271506     PULS   2183 
     19271508     PULS   2172 
     19271510     PULS   2162 
     19271512     PULS   2154 
     19271514     PULS   2146 
     19271516     PULS   2140 
     19271518     PULS   2134 
     19271520     PULS   2129 
     19271522     PULS   2124 
     19271524     PULS   2119 
     19271526     PULS   2115 
     19271528     PULS   2110 
     19271530     PULS   2105 
     19271532     PULS   2099 
     19271534     PULS   2093 
     19271536     PULS   2086 
     19271538     PULS   2078 
     19271540     PULS   2069 
     19271542     PULS   2059 
     19271546     PULS   2036 
     19271548     PULS   2024 
     19271550     PULS   2010 
     19271552     PULS   1995 
     19271554     PULS   1979 
     19271556     PULS   1963 
     19271558     PULS   1945 
     19271560     PULS   1927 
     19271562     PULS   1908 
     19271564     PULS   1888 
     19271566     PULS   1868 
     19271568     PULS   1846 
     19271570     PULS   1825 
     19271572     PULS   1803 
     19271574     PULS   1781 
     19271576     PULS   1758 
     19271578     PULS   1735 
     19271580     PULS   1712 
     19271582     PULS   1690 
     19271584     PULS   1667 
     19271586     PULS   1645 
     19271588     PULS   1623 
     19271590     PULS   1601 
     19271592     PULS   1580 
     19271594     PULS   1559 
     19271596     PULS   1539 
     19271598     PULS   1519 
     19271600     PULS   1499 
     19271602     PULS   1481 
     19271604     PULS   1463 
     19271606     PULS   1446 
     19271608     PULS   1429 
     19271610     PULS   1413 
     19271612     PULS   1398 
