UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19271385     RESP    873 
     19271393     RESP    859 
     19271401     RESP    830 
     19271409     RESP    786 
     19271417     RESP    772 
     19271424     RESP    786 
     19271432     RESP    772 
     19271440     RESP    757 
     19271448     RESP    772 
     19271456     RESP    801 
     19271464     RESP    859 
     19271472     RESP    917 
     19271480     RESP    960 
     19271488     RESP   1004 
     19271496     RESP   1033 
     19271504     RESP   1033 
     19271512     RESP   1062 
     19271520     RESP   1062 
     19271528     RESP   1076 
     19271536     RESP   1091 
     19271544     RESP   1120 
     19271552     RESP   1149 
     19271560     RESP   1178 
     19271568     RESP   1178 
     19271576     RESP   1192 
     19271584     RESP   1207 
     19271592     RESP   1236 
     19271600     RESP   1250 
     19271608     RESP   1250 
     19271616     RESP   1265 
     19271624     RESP   1294 
     19271632     RESP   1308 
     19271640     RESP   1308 
     19271648     RESP   1352 
     19271656     RESP   1381 
     19271664     RESP   1381 
     19271672     RESP   1381 
     19271680     RESP   1395 
     19271688     RESP   1439 
     19271696     RESP   1497 
     19271704     RESP   1584 
     19271712     RESP   1642 
     19271720     RESP   1569 
     19271728     RESP   1482 
     19271736     RESP   1453 
     19271744     RESP   1540 
     19271752     RESP   1671 
     19271760     RESP   1830 
     19271768     RESP   1975 
     19271776     RESP   2062 
     19271784     RESP   2120 
     19271792     RESP   2135 
     19271800     RESP   2091 
     19271808     RESP   2106 
     19271816     RESP   2106 
     19271824     RESP   2135 
     19271832     RESP   2135 
     19271840     RESP   2164 
     19271848     RESP   2193 
     19271856     RESP   2251 
     19271864     RESP   2294 
     19271872     RESP   2309 
     19271880     RESP   2338 
     19271888     RESP   2367 
     19271896     RESP   2367 
     19271904     RESP   2338 
     19271912     RESP   2338 
     19271920     RESP   2309 
     19271928     RESP   2280 
     19271936     RESP   2280 
     19271944     RESP   2280 
     19271952     RESP   2265 
     19271960     RESP   2236 
     19271968     RESP   2236 
     19271976     RESP   2222 
     19271984     RESP   2178 
     19271992     RESP   2193 
     19272000     RESP   2193 
     19272008     RESP   2178 
     19272016     RESP   2178 
     19272024     RESP   2193 
     19272032     RESP   2193 
     19272040     RESP   2178 
     19272048     RESP   2164 
     19272056     RESP   2164 
     19272064     RESP   2120 
     19272072     RESP   2091 
     19272080     RESP   2135 
     19272088     RESP   2135 
     19272096     RESP   2120 
     19272104     RESP   2120 
     19272112     RESP   2091 
     19272120     RESP   2004 
     19272128     RESP   1961 
     19272136     RESP   1961 
     19272144     RESP   2033 
     19272152     RESP   2062 
     19272160     RESP   2135 
     19272168     RESP   2164 
     19272176     RESP   2135 
     19272184     RESP   2077 
     19272200     RESP   1946 
     19272208     RESP   1859 
     19272216     RESP   1816 
     19272224     RESP   1743 
     19272232     RESP   1598 
     19272240     RESP   1540 
     19272248     RESP   1482 
     19272256     RESP   1497 
     19272264     RESP   1482 
     19272272     RESP   1468 
     19272280     RESP   1410 
     19272288     RESP   1323 
     19272296     RESP   1265 
     19272304     RESP   1178 
